Month	Days
2007-07	6.40411458333333
2007-08	2.57556857638889
2007-09	1.10297955246914
2007-10	1.9301880787037
2007-11	6.52354001322751
2007-12	3.66798460144927
2008-01	2.62578984287318
2008-02	2.12023255813953
2008-03	1.93770629084967
2008-04	7.63556508714597
2008-05	3.524375
2008-06	2.81307494212963
2008-07	5.05651208847737
2008-08	5.61793154761905
2008-09	4.68681865828092
2008-10	4.73168812692901
2008-11	5.12057731481482
2008-12	5.36336544205496
2009-01	3.56878165154951
2009-02	2.08248862547893
2009-03	2.76719462250712
2009-04	3.75674212962963
2009-05	5.51849396271271
2009-06	2.86402595713691
2009-07	3.46533080980571
2009-08	3.24375178062678
2009-09	2.15508112004548
2009-10	3.79341282894737
2009-11	2.06279518306475
2009-12	1.77568218954248
2010-01	1.56022768103925
2010-02	1.75235763018658
2010-03	2.66621365740741
2010-04	1.62508684602435
2010-05	1.52401516862391
2010-06	0.882186910238263
2010-07	1.56272743410589
2010-08	2.83361650357744
2010-09	1.98076074531322
2010-10	1.11773708879687
2010-11	0.889695419103314
2010-12	1.6912867863883
2011-01	1.61442467948718
