day	bases
2008-11-23	8633336250
2008-11-26	70939006970
2008-11-27	9289999530
2008-11-28	30036446600
2008-11-29	19370632295
2008-12-03	33967124500
2008-12-05	1486372965
2008-12-11	8350074450
2008-12-15	63966784196
2008-12-16	746177700
2008-12-22	1804992980
2008-12-23	57632904399
2008-12-24	22933438900
2008-12-26	1144779400
2008-12-29	4182643500
2008-12-30	3921371500
2008-12-31	13081449612
2009-01-03	4546199840
2009-01-05	9212833100
2009-01-06	24028367460
2009-01-07	1730842610
2009-01-08	26703829650
2009-01-09	7743300
2009-01-10	5249293700
2009-01-13	12320974655
2009-01-15	6062636500
2009-01-16	37521547820
2009-01-18	8270266950
2009-01-21	5961314400
2009-01-22	4392528030
2009-01-25	9320009800
2009-01-27	1403007095
2009-01-28	16221313895
2009-01-29	49367865814
2009-01-30	32268672200
2009-01-31	24890320150
2009-02-03	6857295850
2009-02-04	22674326845
2009-02-05	18957201050
2009-02-07	6252666000
2009-02-08	7600346300
2009-02-11	24091114800
2009-02-12	8172147186
2009-02-13	13806008100
2009-02-17	7536007000
2009-02-18	35628196800
2009-02-19	14906554700
2009-02-20	9434188900
2009-02-21	15801465220
2009-02-22	7625088350
2009-02-23	8161739900
2009-02-24	16618899325
2009-02-25	17859799025
2009-02-26	15940518950
2009-02-27	19299130935
2009-03-02	465640900
2009-03-03	12404734000
2009-03-04	11106605430
2009-03-05	32355893900
2009-03-06	13489481817
2009-03-07	7931246260
2009-03-08	24353370950
2009-03-09	15268354350
2009-03-10	15492320915
2009-03-11	23847065660
2009-03-13	12724990950
2009-03-14	1724344576
2009-03-16	10077115950
2009-03-18	1768593750
2009-03-21	10471872488
2009-03-23	22070267750
2009-03-24	14892291450
2009-03-25	37618418833
2009-03-26	19021903938
2009-03-28	25348210800
2009-03-29	7135981400
2009-03-30	10474711470
2009-03-31	18396483300
2009-04-01	32777697450
2009-04-02	60872260575
2009-04-03	42893882686
2009-04-04	21290361615
2009-04-05	30892099500
2009-04-06	17346175350
2009-04-07	19780218350
2009-04-08	33790767950
2009-04-09	30969521300
2009-04-10	18056208800
2009-04-12	13441536450
2009-04-13	38540283950
2009-04-14	32043175655
2009-04-15	29157240900
2009-04-16	27164070000
2009-04-17	7165592150
2009-04-18	17279564292
2009-04-19	55723976400
2009-04-20	14147705900
2009-04-21	392483850
2009-04-22	6558187378
2009-04-23	54143077218
2009-04-25	56612803900
2009-04-26	5407076100
2009-04-27	25070633100
2009-04-28	23753298650
2009-04-29	102923835700
2009-04-30	47000738546
2009-05-04	45122828943
2009-05-05	12741722042
2009-05-06	29686660900
2009-05-07	19076356100
2009-05-08	18144787275
2009-05-09	2778905400
2009-05-10	88364076916
2009-05-11	76755368555
2009-05-12	22853344350
2009-05-13	49709088600
2009-05-14	17955843750
2009-05-15	11687374055
2009-05-16	20779800861
2009-05-17	30302576250
2009-05-18	2362863450
2009-05-19	37041581750
2009-05-20	55656832245
2009-05-21	30178653440
2009-05-22	6332746400
2009-05-23	14390296400
2009-05-24	23895321200
2009-05-26	5006681350
2009-05-27	7907716000
2009-05-28	129773322450
2009-05-29	117080802360
2009-05-30	4951731000
2009-05-31	69537492900
2009-06-01	2478230850
2009-06-02	133865779350
2009-06-03	194419551651
2009-06-04	102652977612
2009-06-05	15138071550
2009-06-06	37353250800
2009-06-07	57324408150
2009-06-08	40626357810
2009-06-09	17821459650
2009-06-10	6360710700
2009-06-11	89568910975
2009-06-12	49713966825
2009-06-13	50344803600
2009-06-14	32769879350
2009-06-15	115226521700
2009-06-16	24311384500
2009-06-18	78863075400
2009-06-20	85399736550
2009-06-21	60083554350
2009-06-22	15439875150
2009-06-23	23418201525
2009-06-24	11359942350
2009-06-25	48380999850
2009-06-26	143250354750
2009-06-27	18396351300
2009-06-28	59835840160
2009-06-29	6790243950
2009-06-30	63458512128
2009-07-01	45316452960
2009-07-02	134644887020
2009-07-03	71696973086
2009-07-04	32394733200
2009-07-05	53098179210
2009-07-06	55521942717
2009-07-07	56738253732
2009-07-08	14205142050
2009-07-09	156031054675
2009-07-13	46254598200
2009-07-14	5701372500
2009-07-15	1889780900
2009-07-16	5664231200
2009-07-17	40091466450
2009-07-19	28141589850
2009-07-20	45292955950
2009-07-21	670942565091
2009-07-22	65667793200
2009-07-23	47621209800
2009-07-24	63605815650
2009-07-26	88610724300
2009-07-27	182811573700
2009-07-28	67940939034
2009-07-29	23732905251
2009-07-30	141133519958
2009-07-31	53508697550
2009-08-01	55290723600
2009-08-03	57259103100
2009-08-04	70485861600
2009-08-05	2765713950
2009-08-06	219491355090
2009-08-07	100802863758
2009-08-08	29755863810
2009-08-09	130406377400
2009-08-11	25421215950
2009-08-12	193109238150
2009-08-13	130362195000
2009-08-14	44007693600
2009-08-17	26364099835
2009-08-18	45688197000
2009-08-19	138176779300
2009-08-20	71329160030
2009-08-21	26597357625
2009-08-22	17715338400
2009-08-23	17798792250
2009-08-24	88792550700
2009-08-25	93466940907
2009-08-26	89869737499
2009-08-27	117277808722
2009-08-28	166349992560
2009-08-29	48234974435
2009-08-30	12216600
2009-08-31	183964027388
2009-09-01	34930386400
2009-09-02	105358707300
2009-09-03	159985290300
2009-09-04	181692385884
2009-09-05	21665611200
2009-09-08	110801093175
2009-09-09	40068489300
2009-09-11	15580714175
2009-09-13	9354796275
2009-09-14	93206707950
2009-09-15	16046241625
2009-09-16	57930938248
2009-09-17	145285272050
2009-09-18	69888206400
2009-09-19	35276800294
2009-09-21	46208097550
2009-09-22	248519392363
2009-09-23	52256003050
2009-09-24	41621716245
2009-09-25	189375257008
2009-09-26	28460019150
2009-09-28	38844414000
2009-09-29	182316075833
2009-09-30	40721493900
2009-10-01	21839776182
2009-10-02	92929693600
2009-10-03	42716273366
2009-10-05	303211849159
2009-10-06	165526067025
2009-10-07	179756086450
2009-10-08	59288941350
2009-10-09	17157032800
2009-10-10	1835899650
2009-10-12	114810951660
2009-10-13	3689172220
2009-10-16	90702502590
2009-10-17	4060799550
2009-10-18	21921214950
2009-10-20	56505840672
2009-10-21	99761887333
2009-10-22	48624109850
2009-10-23	103781114983
2009-10-24	20373601050
2009-10-26	59998331193
2009-10-27	13347804750
2009-10-28	91956385367
2009-10-29	209035407600
2009-10-30	107822595390
2009-10-31	16587010500
2009-11-01	25642796900
2009-11-02	64648121150
2009-11-03	56044557600
2009-11-04	64118356846
2009-11-05	389359462551
2009-11-06	201739658410
2009-11-07	61423715900
2009-11-09	342528612550
2009-11-10	131823290874
2009-11-11	36095918550
2009-11-12	160249851350
2009-11-13	13502370300
2009-11-14	202335383700
2009-11-15	5296949050
2009-11-16	36752422860
2009-11-17	130758015770
2009-11-18	363468782700
2009-11-19	135887677650
2009-11-20	2141462280
2009-11-21	24479159850
2009-11-22	23025062850
2009-11-23	43387298400
2009-11-24	388903566750
2009-11-25	65275482440
2009-11-26	79296016800
2009-11-30	393014424075
2009-12-01	228789052470
2009-12-02	8438177370
2009-12-03	204066143795
2009-12-04	241344805100
2009-12-05	54382102950
2009-12-06	26699871600
2009-12-07	417892439400
2009-12-08	85388381500
2009-12-10	202795721350
2009-12-11	227476399200
2009-12-12	170318453850
2009-12-14	141510983275
2009-12-15	170640397250
2009-12-16	24307722900
2009-12-17	83347026700
2009-12-18	48195196500
2009-12-21	361481965225
2009-12-22	298064901850
2009-12-23	58146361850
2009-12-24	121707404850
2009-12-28	383015135800
2009-12-29	501970774050
2009-12-30	151616814200
2010-01-02	36351026000
2010-01-04	270902622250
2010-01-05	36323428000
2010-01-06	238702757500
2010-01-07	109890079700
2010-01-08	49524037700
2010-01-09	70146679800
2010-01-10	48827301888
2010-01-11	67656227850
2010-01-12	380284499400
2010-01-13	281478228650
2010-01-14	157185585740
2010-01-15	63461246250
2010-01-16	16781455500
2010-01-18	7890748200
2010-01-19	190419050800
2010-01-20	570456745400
2010-01-21	71027880222
2010-01-22	161331569200
2010-01-23	60983420800
2010-01-25	77860801816
2010-01-26	372966368600
2010-01-27	160801151400
2010-01-28	61088052050
2010-01-29	184787611900
2010-01-30	94916803150
2010-02-01	276522154950
2010-02-02	348544951200
2010-02-03	126110899000
2010-02-05	18724531325
2010-02-06	127596391800
2010-02-07	13473389200
2010-02-08	116216580450
2010-02-09	589451268600
2010-02-10	351033190600
2010-02-11	236379090800
2010-02-12	301543095100
2010-02-13	21056411400
2010-02-14	125280962600
2010-02-15	161828979005
2010-02-16	221404770000
2010-02-17	57473559400
2010-02-18	224575671200
2010-02-19	146339192505
2010-02-20	158704595000
2010-02-22	10976765000
2010-02-23	848809291400
2010-02-24	289543184600
2010-02-25	33066734200
2010-02-26	319800647460
2010-02-27	193151583100
2010-02-28	97896779000
2010-03-01	404027655180
2010-03-02	335047368600
2010-03-03	13674125800
2010-03-04	117548200
2010-03-05	51274446800
2010-03-06	623355848625
2010-03-07	46731226755
2010-03-08	267386365708
2010-03-09	250546316600
2010-03-10	130862335390
2010-03-11	85900201200
2010-03-12	132169860580
2010-03-15	661215221900
2010-03-16	554526819050
2010-03-17	199579908650
2010-03-18	149632841450
2010-03-19	141702519000
2010-03-22	461839381460
2010-03-23	916997688434
2010-03-24	417886402540
2010-03-25	175551868450
2010-03-26	285923108330
2010-03-27	188001131400
2010-03-29	224697862540
2010-03-30	222574909400
2010-03-31	366361238380
2010-04-01	293267121270
2010-04-02	354092475000
2010-04-03	218867363600
2010-04-04	29719513600
2010-04-06	328976124230
2010-04-07	371386860800
2010-04-08	194693287000
2010-04-09	390495145800
2010-04-10	207283445100
2010-04-11	46232787920
2010-04-12	173230077200
2010-04-13	617034203650
2010-04-14	222577847496
2010-04-15	311806393585
2010-04-16	249183404800
2010-04-17	397719948200
2010-04-19	129303951600
2010-04-20	312462681200
2010-04-21	29040880600
2010-04-22	265007981965
2010-04-23	278362639400
2010-04-24	327986526000
2010-04-26	92251349000
2010-04-27	607174680835
2010-04-28	317881938700
2010-04-30	248258760920
2010-05-01	162585164400
2010-05-02	249775323400
2010-05-03	73600651380
2010-05-04	447918312598
2010-05-05	212343874000
2010-05-06	148459987200
2010-05-07	428240426800
2010-05-08	199131981600
2010-05-10	518993820200
2010-05-11	281164620800
2010-05-12	233381313199
2010-05-13	252280870200
2010-05-14	230628159328
2010-05-15	2620245140
2010-05-16	100742996800
2010-05-17	18367607752
2010-05-18	389773360477
2010-05-19	98672222000
2010-05-20	231062349450
2010-05-21	295424534250
2010-05-22	127955386800
2010-05-24	320592991800
2010-05-25	509811962800
2010-05-26	89605080600
2010-05-27	92634822400
2010-05-28	211529933200
2010-05-29	11153163600
2010-06-01	425208799400
2010-06-02	840705186000
2010-06-03	187213853904
2010-06-04	207562136800
2010-06-05	57585368360
2010-06-06	127595430000
2010-06-07	275251778000
2010-06-08	108690367400
2010-06-09	271629832600
2010-06-10	5186280000
2010-06-11	61371622100
2010-06-12	90330463800
2010-06-13	268400391600
2010-06-14	681641147600
2010-06-15	66341040600
2010-06-16	115951856200
2010-06-17	187497765400
2010-06-18	155327596950
2010-06-19	298155033150
2010-06-20	36576878550
2010-06-21	192497716800
2010-06-22	446661152400
2010-06-23	309100475600
2010-06-24	155975680200
2010-06-25	125842722200
2010-06-26	186682805200
2010-06-27	185374644800
2010-06-28	322915842000
2010-06-29	49514883600
2010-06-30	173376736800
2010-07-01	100321863400
2010-07-02	17480650400
2010-07-03	758201329600
2010-07-04	44398635600
2010-07-06	243234849600
2010-07-07	339801693800
2010-07-08	127283952200
2010-07-09	106110996200
2010-07-12	196096266600
2010-07-13	751664148800
2010-07-14	185908019450
2010-07-15	231020421400
2010-07-16	374965541100
2010-07-17	119740680200
2010-07-19	312006803200
2010-07-20	417949984000
2010-07-21	195527871400
2010-07-22	395127966100
2010-07-23	156309839600
2010-07-24	26080146200
2010-07-25	53855180200
2010-07-26	182540592200
2010-07-27	422458820600
2010-07-28	196990703800
2010-07-29	724491742972
2010-07-30	565600698300
2010-07-31	357987927400
2010-08-01	2844913200
2010-08-02	86556836950
2010-08-03	578606543400
2010-08-04	485553434000
2010-08-05	234284302498
2010-08-06	88872573344
2010-08-09	136094289000
2010-08-10	231888585600
2010-08-11	403755315400
2010-08-12	473312858400
2010-08-13	615268128600
2010-08-14	255444886400
2010-08-15	143112311000
2010-08-16	307778996600
2010-08-17	397555733600
2010-08-18	332374526600
2010-08-19	196307613400
2010-08-20	195225548800
2010-08-21	202808016200
2010-08-22	6860386800
2010-08-23	593426205200
2010-08-24	339606835200
2010-08-25	137713295000
2010-08-26	359619019400
2010-08-27	233826867800
2010-08-28	19818632400
2010-08-30	569250731600
2010-08-31	303739815800
2010-09-01	553117387400
2010-09-02	16210990800
2010-09-03	269415589800
2010-09-04	150009697400
2010-09-05	189286293400
2010-09-07	554029415600
2010-09-08	573866143200
2010-09-09	330789091452
2010-09-10	186302118600
2010-09-11	97714337800
2010-09-12	141946123600
2010-09-13	355019100018
2010-09-14	239448362800
2010-09-15	157279951400
2010-09-16	218186680708
2010-09-17	55065155400
2010-09-18	282792949800
2010-09-19	228308373000
2010-09-20	618136910000
2010-09-21	307254695000
2010-09-22	303621012000
2010-09-23	251786888600
2010-09-24	211821539400
2010-09-25	79170902600
2010-09-26	85991223200
2010-09-27	408336629200
2010-09-28	186413668200
2010-09-29	581290521800
2010-09-30	203479721400
2010-10-01	227669903200
2010-10-02	219653208108
