Day	Gigabases
2008-02-23	2.960186481
2008-02-24	3.89333504
2008-02-26	6.304363373
2008-02-27	2.51243636
2008-03-03	.760413465
2008-03-04	3.445315475
2008-03-05	1.99772734
2008-03-06	3.948479087
2008-03-07	1.639141491
2008-03-08	1.074451968
2008-03-09	4.755558385
2008-03-11	.845295383
2008-03-13	1.184022245
2008-03-15	4.8291817
2008-03-16	2.579542105
2008-03-17	.18286471
2008-03-19	4.86693641
2008-03-22	.84022722
2008-03-23	.99795731
2008-03-24	2.8553252
2008-03-27	1.43262546
2008-03-28	.90532687
2008-03-31	.001881845
2008-04-01	3.214547035
2008-04-02	.94571001
2008-04-03	.79596398
2008-04-07	3.833330585
2008-04-09	1.27281581
2008-04-17	4.338071712
2008-04-20	.955299168
2008-04-23	1.153562515
2008-04-29	25.27957066
2008-04-30	5.450668386
2008-05-03	3.912697698
2008-05-04	9.120584292
2008-05-06	1.34344966
2008-05-07	12.71154402
2008-05-10	1.98898
2008-05-11	1.947760788
2008-05-13	1.76167124
2008-05-14	1.981474495
2008-05-15	3.25161921
2008-05-19	2.35099508
2008-05-20	10.543556031
2008-05-21	9.017745407
2008-05-22	1.437395155
2008-05-24	7.18672395
2008-05-26	11.66233215
2008-05-28	2.70979422
2008-05-30	8.727822635
2008-06-03	1.23851007
2008-06-04	1.10285445
2008-06-05	2.43630975
2008-06-06	2.128095655
2008-06-09	1.630628895
2008-06-10	3.66294887
2008-06-11	1.870096585
2008-06-12	1.54204617
2008-06-13	3.12722553
2008-06-14	1.023385475
2008-06-17	.169002715
2008-06-18	3.99816956
2008-06-20	4.25629995
2008-06-21	7.59024273
2008-06-24	14.57258964
2008-06-25	8.21597264
2008-06-26	1.13928577
2008-06-27	8.61607208
2008-06-28	1.252408115
2008-06-29	3.2453106
2008-07-01	.976465735
2008-07-02	2.027103235
2008-07-03	5.155960425
2008-07-09	6.41198994
2008-07-12	7.948719891
2008-07-17	7.958839252
2008-07-18	10.132350585
2008-07-19	8.76880347
2008-07-20	2.41712681
2008-07-21	5.628492555
2008-07-25	1.39856465
2008-07-28	21.098014
2008-07-29	6.89683624
2008-07-30	7.892863405
2008-07-31	19.634226465
2008-08-01	1.0561082
2008-08-02	1.236487518
2008-08-03	16.637607511
2008-08-06	4.89439965
2008-08-07	10.64440314
2008-08-08	26.301264768
2008-08-19	.383205095
2008-08-20	19.63811337
2008-08-21	41.576401516
2008-08-23	55.129445
2008-08-26	6.13540158
2008-08-28	12.78510492
2008-08-29	19.44061602
2008-08-30	12.45083772
2008-08-31	4.51057628
2008-09-01	.616137865
2008-09-02	37.96651445
2008-09-03	12.70979143
2008-09-04	2.88720999
2008-09-05	8.152742115
2008-09-06	4.683022925
2008-09-07	10.55152042
2008-09-08	21.07761845
2008-09-09	10.58689765
2008-09-10	19.790842715
2008-09-12	7.533988945
2008-09-13	1.798933885
2008-09-14	6.97997118
2008-09-15	2.356112045
2008-09-16	2.36401781
2008-09-17	4.82629679
2008-09-18	2.419320295
2008-09-20	1.60926668
2008-09-21	1.018046225
2008-09-23	25.08498902
2008-09-25	27.7469846
2008-09-26	1.86836727
2008-09-29	45.671923966
2008-09-30	2.19600535
2008-10-01	26.3879087
2008-10-02	10.918453805
2008-10-03	29.93663196
2008-10-07	1.3425997
2008-10-08	22.242293545
2008-10-09	2.492714875
2008-10-10	4.43699571
2008-10-11	.94182144
2008-10-12	30.77440216
2008-10-13	11.29569182
2008-10-14	3.59460997
2008-10-15	1.66766481
2008-10-16	4.99660182
2008-10-17	14.84488789
2008-10-20	29.053444455
2008-10-21	.52331545
2008-10-23	35.72288202
2008-10-24	3.97762253
2008-10-28	.00613445
2008-10-29	1.93334841
2008-10-31	29.72951603
2008-11-03	21.62503021
2008-11-05	4.356684885
2008-11-07	33.53089691
2008-11-08	1.83680602
2008-11-09	3.29410522
2008-11-10	12.22481673
2008-11-11	25.36682351
2008-11-12	3.167593345
2008-11-13	42.9549806
2008-11-14	1.651726965
2008-11-17	27.43091981
2008-11-18	49.650588
2008-11-19	10.73615186
2008-11-20	46.460960635
2008-11-23	8.63333625
2008-11-26	70.93900697
2008-11-27	9.28999953
2008-11-28	30.0364466
2008-11-29	19.370632295
2008-12-03	33.9671245
2008-12-05	1.486372965
2008-12-11	8.35007445
2008-12-15	63.966784196
2008-12-16	.7461777
2008-12-22	1.80499298
2008-12-23	57.632904399
2008-12-24	22.9334389
2008-12-26	1.1447794
2008-12-29	4.1826435
2008-12-30	3.9213715
2008-12-31	13.081449612
2009-01-03	4.54619984
2009-01-05	9.2128331
2009-01-06	24.02836746
2009-01-07	1.73084261
2009-01-08	26.70382965
2009-01-09	.0077433
2009-01-10	5.2492937
2009-01-13	12.320974655
2009-01-15	6.0626365
2009-01-16	37.52154782
2009-01-18	8.27026695
2009-01-21	5.9613144
2009-01-22	4.39252803
2009-01-25	9.3200098
2009-01-27	1.403007095
2009-01-28	16.221313895
2009-01-29	49.367865814
2009-01-30	32.2686722
2009-01-31	24.89032015
2009-02-03	6.85729585
2009-02-04	22.674326845
2009-02-05	18.95720105
2009-02-07	6.252666
2009-02-08	7.6003463
2009-02-11	24.0911148
2009-02-12	8.172147186
2009-02-13	13.8060081
2009-02-17	7.536007
2009-02-18	35.6281968
2009-02-19	14.9065547
2009-02-20	9.4341889
2009-02-21	15.80146522
2009-02-22	7.62508835
2009-02-23	8.1617399
2009-02-24	16.618899325
2009-02-25	17.859799025
2009-02-26	15.94051895
2009-02-27	19.299130935
2009-03-02	.4656409
2009-03-03	12.404734
2009-03-04	11.10660543
2009-03-05	32.3558939
2009-03-06	13.489481817
2009-03-07	7.93124626
2009-03-08	24.35337095
2009-03-09	15.26835435
2009-03-10	15.492320915
2009-03-11	23.84706566
2009-03-13	12.72499095
2009-03-14	1.724344576
2009-03-16	10.07711595
2009-03-18	1.76859375
2009-03-21	10.471872488
2009-03-23	22.07026775
2009-03-24	14.89229145
2009-03-25	37.618418833
2009-03-26	19.021903938
2009-03-28	25.3482108
2009-03-29	7.1359814
